condition_source_value,count
Essential (primary) hypertension,890508
Encounter for antineoplastic chemotherapy,637364
Type 2 diabetes mellitus without complications,426662
"Hyperlipidemia, unspecified",411363
Pasngr in pk-up/van injured in clsn w statnry object nontraf Passenger in pick-up truck,227715
Malignant neoplasm of unspecified site of unspecified female breast,185457
Encounter for immunization,273764
"Acute myelomonocytic leukemia, not having achieved remission",176145
Gastro-esophageal reflux disease without esophagitis,320614
Multiple myeloma not having achieved remission,283035
Personal history of nicotine dependence,277865
"Major depressive disorder, single episode, unspecified",264988
Other chronic pain,288164
Long term (current) use of anticoagulants,281832
"Other specified types of non-Hodgkin lymphoma, extranodal and solid organ sites",152712
"Anemia, unspecified",254082
Unspecified atrial fibrillation,227655
Low back pain,249419
Stem cells transplant status,235624
Other long term (current) drug therapy,290903
Pain in unspecified limb,142718
Secondary malignant neoplasm of bone,135406
Other fatigue,135065
Secondary malignant neoplasm of bone marrow,129404
Estrogen receptor positive status [ER+],122856
Malignant neoplasm of prostate,234916
"Nicotine dependence, unspecified, uncomplicated",122249
Encounter for therapeutic drug level monitoring,114160
Encounter for other preprocedural examination,219181
"Anxiety disorder, unspecified",218275
"Hypothyroidism, unspecified",202132
Other disorders of magnesium metabolism,102934
Atherosclerotic heart disease of native coronary artery without angina pectoris,177307
Encounter for screening mammogram for malignant neoplasm of breast,196455
Secondary malignant neoplasm of liver and intrahepatic bile duct,199968
"Thrombocytopenia, unspecified",99468
Person outside bus injured in collision w ped/anml in traf Person on outside,96544
Encounter for antineoplastic immunotherapy,177981
Encounter for general adult medical examination without abnormal findings,95537
Hypokalemia,177716
Hypomagnesemia,94531
Pain in unspecified knee,92608
Driver of pk-up/van injured in nonclsn trnsp acc nontraf Driver of pick-up,92100
Pain in unspecified shoulder,91971
Headache,91879
Long term (current) use of insulin,91802
Prsn brd/alit a pedal cycle injured in collision w ped/anml Person boarding,89979
Obstructive sleep apnea (adult) (pediatric),174647
Cough,86751
Encounter for change or removal of surgical wound dressing,86116
Malignant neoplasm of unspecified part of unspecified bronchus or lung,85599
Personal history of malignant neoplasm of breast,85142
"Myelodysplastic syndrome, unspecified",84196
Other abnormalities of breathing,83965
Secondary malignant neoplasm of unspecified lung,83916
Other disorders of lung,83048
"Disorder of cartilage, unspecified",81961
Other specified postprocedural states,81542
Encounter for other specified aftercare,81168
"Heart failure, unspecified",79228
"Constipation, unspecified",78005
Encounter for aftercare following other organ transplant,76310
"Diarrhea, unspecified",76231
"Obesity, unspecified",75540
Unspecified abdominal pain,74530
"Neutropenia, unspecified",74182
"Acute myeloblastic leukemia, not having achieved remission",74016
Other nonspecific abnormal finding of lung field,73825
Cervicalgia,72497
Nausea,72125
"Dorsalgia, unspecified",72066
Acute lymphoblastic leukemia not having achieved remission,70098
Long term (current) use of aspirin,67473
Encounter for antineoplastic radiation therapy,67405
