drug,count
Insulin Lispro,87828
Insulin Glargine,82314
Aspirin,56928
Acetaminophen,56415
Oxycodone,46284
"Insulin, Aspart, Human",45975
Cholecalciferol,41301
gabapentin,37219
Lisinopril,35250
Docusate,33829
atorvastatin,33343
"sennosides, USP",30849
Ondansetron,29627
Multivitamin preparation,28886
Omeprazole,28830
levothyroxine,28138
Amlodipine,25448
Metoprolol,25392
POLYETHYLENE GLYCOL 3350,23725
Simvastatin,21223
Albuterol,21067
Prednisone,20531
Metformin,20452
Calcium Carbonate,19850
Glucagon,18530
Furosemide,16900
Losartan,16470
pantoprazole,16141
3 ML Insulin Glargine 100 UNT/ML Pen Injector,16090
Tacrolimus,15900
Metoclopramide,14974
carvedilol,14166
Magnesium Oxide,13203
Aspirin 81 MG Delayed Release Oral Tablet,13127
Bisacodyl,13075
Ibuprofen,12576
Aspirin 81 MG Oral Tablet,12259
Lorazepam,11613
clopidogrel,11577
1.5 ML Insulin Lispro 100 UNT/ML Prefilled Syringe,11450
Omega-3 Fatty Acids,11304
ferrous sulfate,11260
Warfarin,10976
fluticasone Nasal Product,10886
Hydromorphone,10324
Ranitidine,10262
Trazodone,10036
Potassium Chloride,9946
tamsulosin,9840
NDA020983 60 ACTUAT Albuterol 0.09 MG/ACTUAT Metered Dose Inhaler,9786
