,1st,2nd,3rd,4th,5th,6th,7th
0,A00-B99,A00-A09,A00,A00.0,,,
1,A00-B99,A00-A09,A00,A00.1,,,
2,A00-B99,A00-A09,A00,A00.9,,,
3,A00-B99,A00-A09,A01,A01.1,,,
4,A00-B99,A00-A09,A01,A01.2,,,
5,A00-B99,A00-A09,A01,A01.3,,,
6,A00-B99,A00-A09,A01,A01.4,,,
7,A00-B99,A00-A09,A01,A01.0,A01.00,,
8,A00-B99,A00-A09,A01,A01.0,A01.01,,
9,A00-B99,A00-A09,A01,A01.0,A01.02,,
10,A00-B99,A00-A09,A01,A01.0,A01.03,,
11,A00-B99,A00-A09,A01,A01.0,A01.04,,
12,A00-B99,A00-A09,A01,A01.0,A01.05,,
13,A00-B99,A00-A09,A01,A01.0,A01.09,,
14,A00-B99,A00-A09,A02,A02.0,,,
15,A00-B99,A00-A09,A02,A02.1,,,
16,A00-B99,A00-A09,A02,A02.8,,,
17,A00-B99,A00-A09,A02,A02.9,,,
18,A00-B99,A00-A09,A02,A02.2,A02.20,,
19,A00-B99,A00-A09,A02,A02.2,A02.21,,
20,A00-B99,A00-A09,A02,A02.2,A02.22,,
21,A00-B99,A00-A09,A02,A02.2,A02.23,,
22,A00-B99,A00-A09,A02,A02.2,A02.24,,
23,A00-B99,A00-A09,A02,A02.2,A02.25,,
24,A00-B99,A00-A09,A02,A02.2,A02.29,,
25,A00-B99,A00-A09,A03,A03.0,,,
26,A00-B99,A00-A09,A03,A03.1,,,
27,A00-B99,A00-A09,A03,A03.2,,,
28,A00-B99,A00-A09,A03,A03.3,,,
29,A00-B99,A00-A09,A03,A03.8,,,
30,A00-B99,A00-A09,A03,A03.9,,,
31,A00-B99,A00-A09,A04,A04.0,,,
32,A00-B99,A00-A09,A04,A04.1,,,
33,A00-B99,A00-A09,A04,A04.2,,,
34,A00-B99,A00-A09,A04,A04.3,,,
35,A00-B99,A00-A09,A04,A04.4,,,
36,A00-B99,A00-A09,A04,A04.5,,,
37,A00-B99,A00-A09,A04,A04.6,,,
38,A00-B99,A00-A09,A04,A04.8,,,
39,A00-B99,A00-A09,A04,A04.9,,,
40,A00-B99,A00-A09,A04,A04.7,A04.71,,
41,A00-B99,A00-A09,A04,A04.7,A04.72,,
42,A00-B99,A00-A09,A05,A05.0,,,
43,A00-B99,A00-A09,A05,A05.1,,,
44,A00-B99,A00-A09,A05,A05.2,,,
45,A00-B99,A00-A09,A05,A05.3,,,
46,A00-B99,A00-A09,A05,A05.4,,,
47,A00-B99,A00-A09,A05,A05.5,,,
48,A00-B99,A00-A09,A05,A05.8,,,
49,A00-B99,A00-A09,A05,A05.9,,,
50,A00-B99,A00-A09,A06,A06.0,,,
51,A00-B99,A00-A09,A06,A06.1,,,
52,A00-B99,A00-A09,A06,A06.2,,,
53,A00-B99,A00-A09,A06,A06.3,,,
54,A00-B99,A00-A09,A06,A06.4,,,
55,A00-B99,A00-A09,A06,A06.5,,,
56,A00-B99,A00-A09,A06,A06.6,,,
57,A00-B99,A00-A09,A06,A06.7,,,
58,A00-B99,A00-A09,A06,A06.9,,,
59,A00-B99,A00-A09,A06,A06.8,A06.81,,
60,A00-B99,A00-A09,A06,A06.8,A06.82,,
61,A00-B99,A00-A09,A06,A06.8,A06.89,,
62,A00-B99,A00-A09,A07,A07.0,,,
63,A00-B99,A00-A09,A07,A07.1,,,
64,A00-B99,A00-A09,A07,A07.2,,,
65,A00-B99,A00-A09,A07,A07.3,,,
66,A00-B99,A00-A09,A07,A07.4,,,
67,A00-B99,A00-A09,A07,A07.8,,,
68,A00-B99,A00-A09,A07,A07.9,,,
69,A00-B99,A00-A09,A08,A08.0,,,
70,A00-B99,A00-A09,A08,A08.2,,,
71,A00-B99,A00-A09,A08,A08.4,,,
72,A00-B99,A00-A09,A08,A08.8,,,
73,A00-B99,A00-A09,A08,A08.1,A08.11,,
74,A00-B99,A00-A09,A08,A08.1,A08.19,,
75,A00-B99,A00-A09,A08,A08.3,A08.31,,
76,A00-B99,A00-A09,A08,A08.3,A08.32,,
77,A00-B99,A00-A09,A08,A08.3,A08.39,,
78,A00-B99,A00-A09,A09,,,,
79,A00-B99,A15-A19,A15,A15.0,,,
80,A00-B99,A15-A19,A15,A15.4,,,
81,A00-B99,A15-A19,A15,A15.5,,,
82,A00-B99,A15-A19,A15,A15.6,,,
83,A00-B99,A15-A19,A15,A15.7,,,
84,A00-B99,A15-A19,A15,A15.8,,,
85,A00-B99,A15-A19,A15,A15.9,,,
86,A00-B99,A15-A19,A17,A17.0,,,
87,A00-B99,A15-A19,A17,A17.1,,,
88,A00-B99,A15-A19,A17,A17.9,,,
